alternate_sales_number,facilities,geocoded_latitude,geocoded_longitude,internet_bell,internet_bell_fibre,internet_bell_vdsl,internet_cogeco,internet_execulink_bellcolo,internet_execulink_cable,internet_execulink_copper,internet_execulink_dialup,internet_execulink_fibre,internet_execulink_wireless,internet_rogers,mobility_execulink,murb_n,murb_y,original_address,phone_execulink_bellcolo,phone_execulink_cable,phone_execulink_copper,phone_execulink_digital,phone_execulink_fibre,row_index,security_execulink,tpia,tv_available,tv_execulink_cable,tv_execulink_copper,tv_execulink_fibre,tv_execulink_hls
1-866-706-1991,0,44.06954469999999,-79.44730369999999,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"788 Botany Hill Crescent, Newmarket, ON",0,0,0,1,0,1,0,1,1,0,0,0,1
1-866-706-1991,0,44.02546299999999,-79.474688,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"901 Isaac Phillips Way, Newmarket, ON",0,0,0,1,0,16,0,1,1,0,0,0,1
1-866-706-1991,0,44.0458114,-79.4606336,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"372 Lorne Avenue, Newmarket, ON",0,0,0,1,0,10,0,1,1,0,0,0,1
1-866-706-1991,0,44.067988,-79.477154,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"128 Bristol Road, Newmarket, ON",0,0,0,1,0,12,0,1,1,0,0,0,1
1-866-706-1991,0,44.0676739,-79.4680528,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"310 Darlington Crescent, Newmarket, ON",0,0,0,1,0,6,0,1,1,0,0,0,1
1-866-706-1991,0,44.0361109,-79.4648465,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"278 Chambers Crescent, Newmarket, ON",0,0,0,1,0,7,0,1,1,0,0,0,1
1-866-706-1991,0,44.037307,-79.5022499,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"637 Gibney Crescent, Newmarket, ON",0,0,0,1,0,3,0,1,1,0,0,0,1
1-866-706-1991,0,44.036868,-79.4852489,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"230 Surgeoner Crescent, Newmarket, ON",0,0,0,1,0,9,0,1,1,0,0,0,1
1-866-706-1991,0,44.0480178,-79.4678508,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"227 Eagle Street, Newmarket, ON",0,0,0,1,0,2,0,1,1,0,0,0,1
1-866-706-1991,0,44.0533203,-79.4577094,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"194 Main Street South, Newmarket, ON",0,0,0,1,0,23,0,1,1,0,0,0,1
1-866-706-1991,0,44.0456131,-79.46117269999999,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"334 Towercrest Drive, Newmarket, ON",0,0,0,1,0,4,0,1,1,0,0,0,1
1-866-706-1991,0,44.0616777,-79.45107569999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"647 Davis Drive, Newmarket, ON",0,0,0,1,0,22,0,1,1,0,0,0,1
1-866-706-1991,0,44.0396558,-79.4649281,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"252 Currey Crescent, Newmarket, ON",0,0,0,1,0,5,0,1,1,0,0,0,1
1-866-706-1991,0,44.07894220000001,-79.4270923,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"350 Harry Walker Parkway North, Newmarket, ON",0,0,0,1,0,18,0,1,1,0,0,0,1
1-866-706-1991,0,44.0487248,-79.4859321,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"140 Glenway Circle, Newmarket, ON",0,0,0,1,0,24,0,1,1,0,0,0,1
1-866-706-1991,0,44.0426458,-79.4498923,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"581 Mulock Court, Newmarket, ON",0,0,0,1,0,13,0,1,1,0,0,0,1
1-866-706-1991,0,44.0273115,-79.4690392,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"84 Bergin Road, Newmarket, ON",0,0,0,1,0,17,0,1,1,0,0,0,1
1-866-706-1991,0,44.0714333,-79.4472924,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"776 Elgin Street, Newmarket, ON",0,0,0,1,0,26,0,1,1,0,0,0,1
1-866-706-1991,0,44.0626938,-79.4550972,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"58 Lundy's Lane, Newmarket, ON",0,0,0,1,0,11,0,1,1,0,0,0,1
1-866-706-1991,0,44.0781825,-79.4268285,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"320 Harry Walker Parkway North, Newmarket, ON",0,0,0,1,0,27,0,1,1,0,0,0,1
1-866-706-1991,0,44.06063710000001,-79.47205230000002,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"202 Cherrywood Drive, Newmarket, ON",0,0,0,1,0,14,0,1,1,0,0,0,1
1-866-706-1991,0,44.07529419999999,-79.45017399999999,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"397 Traviss Drive, Newmarket, ON",0,0,0,1,0,29,0,1,1,0,0,0,1
1-866-706-1991,0,44.0406854,-79.47485379999999,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"45 William Roe Boulevard, Newmarket, ON",0,0,0,1,0,28,0,1,1,0,0,0,1
1-866-706-1991,0,44.0772534,-79.4479234,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"504 Traviss Drive, Newmarket, ON",0,0,0,1,0,8,0,1,1,0,0,0,1
1-866-706-1991,0,44.060873,-79.46652929999999,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"320 Penn Avenue, Newmarket, ON",0,0,0,1,0,31,0,1,1,0,0,0,1
