alternate_sales_number,facilities,geocoded_latitude,geocoded_longitude,internet_bell,internet_bell_fibre,internet_bell_vdsl,internet_cogeco,internet_execulink_bellcolo,internet_execulink_cable,internet_execulink_copper,internet_execulink_dialup,internet_execulink_fibre,internet_execulink_wireless,internet_rogers,mobility_execulink,murb_n,murb_y,original_address,phone_execulink_bellcolo,phone_execulink_cable,phone_execulink_copper,phone_execulink_digital,phone_execulink_fibre,row_index,security_execulink,tpia,tv_available,tv_execulink_cable,tv_execulink_copper,tv_execulink_fibre,tv_execulink_hls
1-866-706-1991,0,43.7117063,-79.78749669999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"65 SUNFOREST, BRAMPTON, ON",0,0,0,1,0,5,0,1,1,0,0,0,1
1-866-706-1991,0,43.6967273,-79.8123833,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"142 BONISTEL, BRAMPTON, ON",0,0,0,1,0,1,0,1,1,0,0,0,1
1-866-706-1991,0,43.7212939,-79.7855364,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"21 MUSKOKA, BRAMPTON, ON",0,0,0,1,0,6,0,1,1,0,0,0,1
1-866-706-1991,0,43.7002532,-79.8161482,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"62 WOODVALLEY, BRAMPTON, ON",0,0,0,1,0,4,0,1,1,0,0,0,1
1-866-706-1991,0,43.6932383,-79.81047889999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"24 SAWSTON, BRAMPTON, ON",0,0,0,1,0,12,0,1,1,0,0,0,1
1-866-706-1991,0,43.7214774,-79.78581659999999,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"27 MUSKOKA, BRAMPTON, ON",0,0,0,1,0,7,0,1,1,0,0,0,1
1-866-706-1991,0,43.6967618,-79.817691,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"5 REDFINCH, BRAMPTON, ON",0,0,0,1,0,9,0,1,1,0,0,0,1
1-866-706-1991,0,43.7035848,-79.8130943,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"187 QUEEN MARY, BRAMPTON, ON",0,0,0,1,0,3,0,1,1,0,0,0,1
1-866-706-1991,0,43.6955871,-79.8183332,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"54 REDFINCH, BRAMPTON, ON",0,0,0,1,0,11,0,1,1,0,0,0,1
1-866-706-1991,0,43.7012128,-79.8060739,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"124 TIANALEE, BRAMPTON, ON",0,0,0,1,0,13,0,1,1,0,0,0,1
1-866-706-1991,0,43.6973064,-79.81860669999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"13 BLUELEAF, BRAMPTON, ON",0,0,0,1,0,15,0,1,1,0,0,0,1
1-866-706-1991,0,43.7028592,-79.8091744,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"48 TIANALEE, BRAMPTON, ON",0,0,0,1,0,2,0,1,1,0,0,0,1
1-866-706-1991,0,43.701175,-79.810929,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"130 DELLS, BRAMPTON, ON",0,0,0,1,0,14,0,1,1,0,0,0,1
1-866-706-1991,0,43.6991167,-79.80844320000001,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"31 DELLS, BRAMPTON, ON",0,0,0,1,0,8,0,1,1,0,0,0,1
1-866-706-1991,0,43.6952705,-79.8186654,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"64 REDFINCH, BRAMPTON, ON",0,0,0,1,0,10,0,1,1,0,0,0,1
1-866-706-1991,0,43.6957829,-79.81433419999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"1 DUFFIELD, BRAMPTON, ON",0,0,0,1,0,16,0,1,1,0,0,0,1
1-866-706-1991,0,43.7000493,-79.8099536,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"7 FLATBUSH, BRAMPTON, ON",0,0,0,1,0,18,0,1,1,0,0,0,1
1-866-706-1991,0,43.69807549999999,-79.8121019,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"56 AMBOISE, BRAMPTON, ON",0,0,0,1,0,20,0,1,1,0,0,0,1
1-866-706-1991,0,43.6995176,-79.8076191,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"28 LORMEL, BRAMPTON, ON",0,0,0,1,0,19,0,1,1,0,0,0,1
1-866-706-1991,0,43.6957213,-79.8142195,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"118 EDENBROOK HILL, BRAMPTON, ON",0,0,0,1,0,17,0,1,1,0,0,0,1
1-866-706-1991,0,43.69896139999999,-79.8081286,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"27 DELLS, BRAMPTON, ON",0,0,0,1,0,21,0,1,1,0,0,0,1
1-866-706-1991,0,43.6947273,-79.80812929999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"56 EDENBROOK HILL, BRAMPTON, ON",0,0,0,1,0,22,0,1,1,0,0,0,1
1-866-706-1991,0,43.6951633,-79.8122095,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"95 EDENBROOK HILL, BRAMPTON, ON",0,0,0,1,0,23,0,1,1,0,0,0,1
1-866-706-1991,0,43.7008659,-79.80935060000002,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"132 QUEEN MARY, BRAMPTON, ON",0,0,0,1,0,26,0,1,1,0,0,0,1
1-866-706-1991,0,43.6974045,-79.8146349,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"13 BONISTEL, BRAMPTON, ON",0,0,0,1,0,25,0,1,1,0,0,0,1
1-866-706-1991,0,43.6933177,-79.8159075,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"59 SEDGEWICK, BRAMPTON, ON",0,0,0,1,0,24,0,1,1,0,0,0,1
1-866-706-1991,0,43.7008277,-79.8091544,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"16 WHISPERING HILLS, BRAMPTON, ON",0,0,0,1,0,27,0,1,1,0,0,0,1
1-866-706-1991,0,43.7012602,-79.8118799,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"15 WOODVALLEY, BRAMPTON, ON",0,0,0,1,0,29,0,1,1,0,0,0,1
