alternate_sales_number,facilities,geocoded_latitude,geocoded_longitude,internet_bell,internet_bell_fibre,internet_bell_vdsl,internet_cogeco,internet_execulink_bellcolo,internet_execulink_cable,internet_execulink_copper,internet_execulink_dialup,internet_execulink_fibre,internet_execulink_wireless,internet_rogers,mobility_execulink,murb_n,murb_y,original_address,phone_execulink_bellcolo,phone_execulink_cable,phone_execulink_copper,phone_execulink_digital,phone_execulink_fibre,row_index,security_execulink,tpia,tv_available,tv_execulink_cable,tv_execulink_copper,tv_execulink_fibre,tv_execulink_hls
1-866-706-1991,0,44.3524129,-79.65733159999999,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"57 Loon Avenue, Barrie, ON",0,0,0,1,0,1,0,1,1,0,0,0,1
1-866-706-1991,0,44.35186290000001,-79.6583625,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"19 Widgeon Street, Barrie, ON",0,0,0,1,0,5,0,1,1,0,0,0,1
1-866-706-1991,0,43.4607355,-79.70749049999999,1,0,1,1,0,0,0,0,0,0,0,0,1,0,"59 Mccraney Street West, Oakville, ON",0,0,0,1,0,4,0,1,1,0,0,0,1
1-866-706-1991,0,43.4581648,-79.7061102,1,0,1,1,0,0,0,0,0,0,0,0,1,0,"95 Culham Street, Oakville, ON",0,0,0,1,0,3,0,1,1,0,0,0,1
1-866-706-1991,0,44.3591864,-79.6475516,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"219 Warnica Road, Barrie, ON",0,0,0,1,0,6,0,1,1,0,0,0,1
1-866-706-1991,0,44.3520887,-79.6572702,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"63 Loon Avenue, Barrie, ON",0,0,0,1,0,2,0,1,1,0,0,0,1
1-866-706-1991,0,43.4577019,-79.705917,1,0,1,1,0,0,0,0,0,0,0,0,1,0,"104 Culham Street, Oakville, ON",0,0,0,1,0,9,0,1,1,0,0,0,1
1-866-706-1991,0,44.355203,-79.661695,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"126 Pickett Crescent, Barrie, ON",0,0,0,1,0,7,0,1,1,0,0,0,1
1-866-706-1991,0,43.86376,-79.31582999999999,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"44 Anna Russell Way, Markham, ON",0,0,0,1,0,11,0,1,1,0,0,0,1
1-866-706-1991,0,43.8961037,-79.2494293,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"13 Wood Duck Island Way, Markham, ON",0,0,0,1,0,12,0,1,1,0,0,0,1
1-866-706-1991,0,43.8439434,-79.25165899999999,0,1,0,0,0,0,0,0,0,0,1,0,1,0,"12 Beehive Lane, Markham, ON",0,0,0,1,0,16,0,1,1,0,0,0,1
1-866-706-1991,0,43.9581936,-78.9722623,1,1,1,0,0,0,0,0,0,0,0,0,1,0,"22 Primeau Avenue, Brooklin, ON",0,0,0,1,0,14,0,1,1,0,0,0,1
