alternate_sales_number,facilities,geocoded_latitude,geocoded_longitude,internet_bell,internet_bell_fibre,internet_bell_vdsl,internet_cogeco,internet_execulink_bellcolo,internet_execulink_cable,internet_execulink_copper,internet_execulink_dialup,internet_execulink_fibre,internet_execulink_wireless,internet_rogers,mobility_execulink,murb_n,murb_y,original_address,phone_execulink_bellcolo,phone_execulink_cable,phone_execulink_copper,phone_execulink_digital,phone_execulink_fibre,row_index,security_execulink,tpia,tv_available,tv_execulink_cable,tv_execulink_copper,tv_execulink_fibre,tv_execulink_hls
1-866-706-1991,0,43.3676483,-80.3304068,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"1 Ash St, Cambridge, ON",0,0,0,1,0,3,0,1,1,0,0,0,1
1-866-706-1991,0,43.4733811,-80.4833671,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"454 Lancaster St W, Kitchener, ON",0,0,0,1,0,2,0,1,1,0,0,0,1
1-866-706-1991,0,43.3394614,-80.3279474,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"1 Blackfriars Pl, Cambridge, ON",0,0,0,1,0,4,0,1,1,0,0,0,1
1-866-706-1991,0,43.3583932,-80.3223837,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"1 Brant Rd N, Cambridge, ON",0,0,0,1,0,6,0,1,1,0,0,0,1
1-866-706-1991,0,43.4869072,-80.5266715,1,0,1,0,0,0,0,0,0,0,0,1,1,0,"1 Blue Springs Dr, Waterloo, ON",0,0,0,1,0,5,0,1,1,0,0,0,1
1-866-706-1991,0,43.4396901,-80.51947,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"663 Victoria St S, Kitchener, ON",0,0,0,1,0,1,0,1,1,0,0,0,1
1-866-706-1991,0,43.4265531,-80.4393984,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"1 Cedarwoods Cres, Kitchener, ON",0,0,0,1,0,7,0,1,1,0,0,0,1
1-866-706-1991,0,43.3526552,-80.3095176,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"1 Elm St, Cambridge, ON",0,0,0,1,0,8,0,1,1,0,0,0,1
1-866-706-1991,0,43.4299605,-80.3083816,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"1 Forbes St, Cambridge, ON",0,0,0,1,0,9,0,1,1,0,0,0,1
1-866-706-1991,0,43.4475275,-80.5050634,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"1 Herlan Ave, Kitchener, ON",0,0,0,1,0,11,0,1,1,0,0,0,1
1-866-706-1991,0,43.523188,-80.4770835,1,0,0,0,0,0,0,0,0,0,1,1,1,0,"1 Grand River Dr, Waterloo, ON",0,0,0,1,0,10,0,1,1,0,0,0,1
1-866-706-1991,0,43.3674657,-80.31624,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"1 Malcolm St, Cambridge, ON",0,0,0,1,0,13,0,1,1,0,0,0,1
1-866-706-1991,0,43.3660712,-80.3303919,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"1 Kenmore Ave, Cambridge, ON",0,0,0,1,0,12,0,1,1,0,0,0,1
1-866-706-1991,0,43.3400805,-80.3078187,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"1 Ridgehill Ave, Cambridge, ON",0,0,0,1,0,16,0,1,1,0,0,0,1
1-866-706-1991,0,43.3829647,-80.3197494,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"1 Munch Ave, Cambridge, ON",0,0,0,1,0,14,0,1,1,0,0,0,1
1-866-706-1991,0,43.4773581,-80.7701626,1,0,0,0,0,0,0,0,0,0,1,1,1,0,"1 Pond View Dr, Wellesley, ON",0,0,0,1,0,15,0,1,1,0,0,0,1
1-866-706-1991,0,43.4796241,-80.4666959,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"1 Schueller St, Kitchener, ON",0,0,0,1,0,17,0,1,1,0,0,0,1
1-866-706-1991,0,43.3712715,-80.3049104,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"14 Pretoria Rd, Cambridge, ON",0,0,0,1,0,19,0,1,1,0,0,0,1
1-866-706-1991,0,43.3538083,-80.3298729,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"1 Westgate Crt, Cambridge, ON",0,0,0,1,0,18,0,1,1,0,0,0,1
1-866-706-1991,0,43.448853,-80.4072266,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Amelia St, Kitchener, ON",0,0,0,1,0,23,0,1,1,0,0,0,1
1-866-706-1991,0,43.3709564,-80.3200052,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"16 Dayton St, Cambridge, ON",0,0,0,1,0,20,0,1,1,0,0,0,1
1-866-706-1991,0,43.4229653,-80.4780275,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Alpine Crt, Kitchener, ON",0,0,0,1,0,21,0,1,1,0,0,0,1
1-866-706-1991,0,43.3395736,-80.3379436,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Angela Cres, Cambridge, ON",0,0,0,1,0,24,0,1,1,0,0,0,1
1-866-706-1991,0,43.4279397,-80.3020487,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Alpine St, Cambridge, ON",0,0,0,1,0,22,0,1,1,0,0,0,1
1-866-706-1991,0,43.4577213,-80.4475118,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Baird Ave, Kitchener, ON",0,0,0,1,0,25,0,1,1,0,0,0,1
1-866-706-1991,0,43.4012072,-80.5131508,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"10 Big Springs Crt, Kitchener, ON",0,0,0,1,0,26,0,1,1,0,0,0,1
1-866-706-1991,0,43.33815,-80.31197,0,1,0,0,0,0,0,0,0,0,1,0,1,0,"10 Birkinshaw Rd, Cambridge, ON",0,0,0,1,0,27,0,1,1,0,0,0,1
1-866-706-1991,0,43.420656,-80.3003261,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Bitzer Crt, Cambridge, ON",0,0,0,1,0,28,0,1,1,0,0,0,1
1-866-706-1991,0,43.377888,-80.31634,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Blain Ave, Cambridge, ON",0,0,0,1,0,29,0,1,1,0,0,0,1
1-866-706-1991,0,43.4240021,-80.495653,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Bonfield Pl, Kitchener, ON",0,0,0,1,0,30,0,1,1,0,0,0,1
1-866-706-1991,0,43.4133068,-80.4973446,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Bosworth Cres, Kitchener, ON",0,0,0,1,0,31,0,1,1,0,0,0,1
1-866-706-1991,0,43.4297288,-80.383132,1,0,0,0,0,0,0,0,0,0,1,1,1,0,"10 Brenda St, Cambridge, ON",0,0,0,1,0,32,0,1,1,0,0,0,1
1-866-706-1991,0,43.4084694,-80.4035689,1,0,0,0,0,0,0,0,0,0,1,1,1,0,"10 Candle Cres, Kitchener, ON",0,0,0,1,0,34,0,1,1,0,0,0,1
1-866-706-1991,0,43.4287068,-80.546793,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Dawn Ridge Dr, Kitchener, ON",0,0,0,1,0,36,0,1,1,0,0,0,1
1-866-706-1991,0,43.383449,-80.4711532,0,1,0,0,0,0,0,0,0,0,1,0,1,0,"10 Castlebay St, Kitchener, ON",0,0,0,1,0,35,0,1,1,0,0,0,1
1-866-706-1991,0,43.4477959,-80.4527801,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Dreger Ave, Kitchener, ON",0,0,0,1,0,37,0,1,1,0,0,0,1
1-866-706-1991,0,43.3555086,-80.328955,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Dundonald Rd, Cambridge, ON",0,0,0,1,0,40,0,1,1,0,0,0,1
1-866-706-1991,0,43.4507907,-80.4878618,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Duke St E, Kitchener, ON",0,0,0,1,0,39,0,1,1,0,0,0,1
1-866-706-1991,0,43.4181433,-80.5343416,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"10 Driftwood Dr, Kitchener, ON",0,0,0,1,0,38,0,1,1,0,0,0,1
1-866-706-1991,0,43.4490696,-80.4321425,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Dunnington Crt, Kitchener, ON",0,0,0,1,0,41,0,1,1,0,0,0,1
1-866-706-1991,0,43.4518183,-80.5185574,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Earl St, Kitchener, ON",0,0,0,1,0,42,0,1,1,0,0,0,1
1-866-706-1991,0,43.354727,-80.3050253,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 East St, Cambridge, ON",0,0,0,1,0,43,0,1,1,0,0,0,1
1-866-706-1991,0,43.3940703,-80.2870409,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"10 Falcon Crt, Cambridge, ON",0,0,0,1,0,44,0,1,1,0,0,0,1
1-866-706-1991,0,43.4221038,-80.3090327,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Farr Cres, Cambridge, ON",0,0,0,1,0,45,0,1,1,0,0,0,1
1-866-706-1991,0,43.3578325,-80.2948314,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Flora St, Cambridge, ON",0,0,0,1,0,46,0,1,1,0,0,0,1
1-866-706-1991,0,43.4112231,-80.5463919,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Fran Ellen Cres, Kitchener, ON",0,0,0,1,0,47,0,1,1,0,0,0,1
1-866-706-1991,0,43.4403977,-80.5409151,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Gatsby Crt, Kitchener, ON",0,0,0,1,0,48,0,1,1,0,0,0,1
1-866-706-1991,0,43.4300991,-80.5331648,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Golden Terrace Crt, Kitchener, ON",0,0,0,1,0,49,0,1,1,0,0,0,1
1-866-706-1991,0,43.4276957,-80.4250288,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Greendale Cres, Kitchener, ON",0,0,0,1,0,50,0,1,1,0,0,0,1
1-866-706-1991,0,43.3410976,-80.3081008,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Greenwood Ave, Cambridge, ON",0,0,0,1,0,51,0,1,1,0,0,0,1
1-866-706-1991,0,43.4129873,-80.5082604,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"10 Hackberry St, Kitchener, ON",0,0,0,1,0,52,0,1,1,0,0,0,1
1-866-706-1991,0,43.3691804,-80.31437,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Hopeton St, Cambridge, ON",0,0,0,1,0,53,0,1,1,0,0,0,1
1-866-706-1991,0,43.4223579,-80.5040388,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"10 Howe Dr, Kitchener, ON",0,0,0,1,0,54,0,1,1,0,0,0,1
1-866-706-1991,0,43.4316533,-80.4909875,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Hugo Cres, Kitchener, ON",0,0,0,1,0,55,0,1,1,0,0,0,1
1-866-706-1991,0,43.4332486,-80.3069356,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Hungerford Rd, Cambridge, ON",0,0,0,1,0,56,0,1,1,0,0,0,1
1-866-706-1991,0,43.4786324,-80.468399,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Inge Crt, Kitchener, ON",0,0,0,1,0,57,0,1,1,0,0,0,1
1-866-706-1991,0,43.4523082,-80.4835008,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"10 Irvin St, Kitchener, ON",0,0,0,1,0,58,0,1,1,0,0,0,1
1-866-706-1991,0,43.3801452,-80.3241947,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Isherwood Ave, Cambridge, ON",0,0,0,1,0,59,0,1,1,0,0,0,1
1-866-706-1991,0,43.4348355,-80.4378822,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Jean Ave, Kitchener, ON",0,0,0,1,0,60,0,1,1,0,0,0,1
1-866-706-1991,0,43.4386975,-80.4538013,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Kenneth Ave, Kitchener, ON",0,0,0,1,0,61,0,1,1,0,0,0,1
1-866-706-1991,0,43.4464216,-80.4826224,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Madison Ave S, Kitchener, ON",0,0,0,1,0,63,0,1,1,0,0,0,1
1-866-706-1991,0,43.3539978,-80.2904314,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Lester Pl, Cambridge, ON",0,0,0,1,0,62,0,1,1,0,0,0,1
1-866-706-1991,0,43.4060093,-80.4004291,1,0,0,0,0,0,0,0,0,0,1,1,1,0,"10 Marquette Dr, Kitchener, ON",0,0,0,1,0,64,0,1,1,0,0,0,1
1-866-706-1991,0,43.3707652,-80.3058475,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Mercer Rd, Cambridge, ON",0,0,0,1,0,65,0,1,1,0,0,0,1
1-866-706-1991,0,43.3707564,-80.3065072,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Moscrip Rd, Cambridge, ON",0,0,0,1,0,66,0,1,1,0,0,0,1
1-866-706-1991,0,43.4049709,-80.2845486,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Nancroft Cres, Cambridge, ON",0,0,0,1,0,67,0,1,1,0,0,0,1
1-866-706-1991,0,43.4135863,-80.5109838,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"10 Orchid Cres, Kitchener, ON",0,0,0,1,0,68,0,1,1,0,0,0,1
1-866-706-1991,0,43.3635589,-80.3149779,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Park Hill Rd E, Cambridge, ON",0,0,0,1,0,69,0,1,1,0,0,0,1
1-866-706-1991,0,43.3393087,-80.3377257,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Peachtree Cres, Cambridge, ON",0,0,0,1,0,70,0,1,1,0,0,0,1
1-866-706-1991,0,43.33757,-80.3052191,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Pentland Dr, Cambridge, ON",0,0,0,1,0,71,0,1,1,0,0,0,1
1-866-706-1991,0,43.40878,-80.3271606,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Pinebush Rd, Cambridge, ON",0,0,0,1,0,72,0,1,1,0,0,0,1
1-866-706-1991,0,43.4210677,-80.5221407,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"10 Pinehurst Cres, Kitchener, ON",0,0,0,1,0,73,0,1,1,0,0,0,1
1-866-706-1991,0,43.4051081,-80.4197419,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Pioneer Tower Cres, Kitchener, ON",0,0,0,1,0,74,0,1,1,0,0,0,1
1-866-706-1991,0,43.3824154,-80.4414921,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"10 Pondcliffe Dr, Kitchener, ON",0,0,0,1,0,75,0,1,1,0,0,0,1
1-866-706-1991,0,43.3852524,-80.4756076,1,1,1,0,0,0,0,0,0,0,0,1,1,0,"10 Pony Way, Kitchener, ON",0,0,0,1,0,76,0,1,1,0,0,0,1
1-866-706-1991,0,43.4006887,-80.5177671,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"10 Red Clover Cres, Kitchener, ON",0,0,0,1,0,79,0,1,1,0,0,0,1
1-866-706-1991,0,43.3539416,-80.3202591,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Ramore St, Cambridge, ON",0,0,0,1,0,78,0,1,1,0,0,0,1
1-866-706-1991,0,43.4313776,-80.3103696,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Queen St E, Cambridge, ON",0,0,0,1,0,77,0,1,1,0,0,0,1
1-866-706-1991,0,43.4071805,-80.4968109,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"10 Ridgeway Cres, Kitchener, ON",0,0,0,1,0,80,0,1,1,0,0,0,1
1-866-706-1991,0,43.3869458,-80.2959583,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Robson Ave, Cambridge, ON",0,0,0,1,0,81,0,1,1,0,0,0,1
1-866-706-1991,0,43.3853273,-80.475887,1,1,1,0,0,0,0,0,0,0,0,1,1,0,"10 Roper Pl, Kitchener, ON",0,0,0,1,0,82,0,1,1,0,0,0,1
1-866-706-1991,0,43.442115,-80.5264352,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Rossford Cres, Kitchener, ON",0,0,0,1,0,83,0,1,1,0,0,0,1
1-866-706-1991,0,43.3777473,-80.4828121,1,1,0,0,0,0,0,0,0,0,0,0,1,0,"10 Roywood St, Kitchener, ON",0,0,0,1,0,84,0,1,1,0,0,0,1
1-866-706-1991,0,43.349883,-80.3191937,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Selkirk St, Cambridge, ON",0,0,0,1,0,85,0,1,1,0,0,0,1
1-866-706-1991,0,43.4093382,-80.4741712,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"10 Southwood Dr, Kitchener, ON",0,0,0,1,0,87,0,1,1,0,0,0,1
1-866-706-1991,0,43.4416187,-80.5328301,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Shadeland Cres, Kitchener, ON",0,0,0,1,0,86,0,1,1,0,0,0,1
1-866-706-1991,0,43.3905656,-80.4358471,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 St Emilion Pl, Kitchener, ON",0,0,0,1,0,88,0,1,1,0,0,0,1
1-866-706-1991,0,43.4166941,-80.3300916,1,0,1,0,0,0,0,0,0,0,0,1,1,0,"10 Stager Pl, Cambridge, ON",0,0,0,1,0,89,0,1,1,0,0,0,1
1-866-706-1991,0,43.4584633,-80.5000069,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Stahl Ave, Kitchener, ON",0,0,0,1,0,90,0,1,1,0,0,0,1
1-866-706-1991,0,43.4309563,-80.5501519,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Udvari Cres, Kitchener, ON",0,0,0,1,0,91,0,1,1,0,0,0,1
1-866-706-1991,0,43.3944061,-80.4469344,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Vintage Cres, Kitchener, ON",0,0,0,1,0,92,0,1,1,0,0,0,1
1-866-706-1991,0,43.4043323,-80.3365808,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Watch Hill Lane, Cambridge, ON",0,0,0,1,0,93,0,1,1,0,0,0,1
1-866-706-1991,0,43.4249404,-80.5433373,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 West Acres Cres, Kitchener, ON",0,0,0,1,0,95,0,1,1,0,0,0,1
1-866-706-1991,0,43.4475174,-80.5245726,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Westwood Dr, Kitchener, ON",0,0,0,1,0,96,0,1,1,0,0,0,1
1-866-706-1991,0,43.5389088,-80.5516129,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Water St, St Jacobs, ON",0,0,0,1,0,94,0,1,1,0,0,0,1
1-866-706-1991,0,43.3824667,-80.4835563,1,1,0,0,0,0,0,0,0,0,0,0,1,0,"10 William Dunlop St, Kitchener, ON",0,0,0,1,0,97,0,1,1,0,0,0,1
1-866-706-1991,0,43.4406466,-80.4104922,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 William Lewis St, Kitchener, ON",0,0,0,1,0,98,0,1,1,0,0,0,1
1-866-706-1991,0,43.384611,-80.4205462,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Woodmans Crt, Kitchener, ON",0,0,0,1,0,99,0,1,1,0,0,0,1
1-866-706-1991,0,43.4422284,-80.4277264,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Wrenwood Pl, Kitchener, ON",0,0,0,1,0,100,0,1,1,0,0,0,1
1-866-706-1991,0,43.438009,-80.4266281,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"10 Zeffer Pl, Kitchener, ON",0,0,0,1,0,101,0,1,1,0,0,0,1
1-866-706-1991,0,43.4591459,-80.5275072,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"100 Alexandra Ave, Waterloo, ON",0,0,0,1,0,102,0,1,1,0,0,0,1
1-866-706-1991,0,43.4252721,-80.474557,1,0,1,0,0,0,0,0,0,0,0,1,1,0,"100 Ardelt Ave, Kitchener, ON",0,0,0,1,0,103,0,1,1,0,0,0,1
1-866-706-1991,0,43.5097739,-80.5374803,1,0,1,0,0,0,0,0,0,0,0,1,1,0,"100 Bathurst Dr, Waterloo, ON",0,0,0,1,0,104,0,1,1,0,0,0,1
1-866-706-1991,0,43.4764363,-80.4978665,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"100 Bluevale St N, Waterloo, ON",0,0,0,1,0,105,0,1,1,0,0,0,1
1-866-706-1991,0,43.448286,-80.5187859,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"100 Brandon Ave, Kitchener, ON",0,0,0,1,0,106,0,1,1,0,0,0,1
1-866-706-1991,0,43.4532106,-80.4433252,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"100 Breckenridge Dr, Kitchener, ON",0,0,0,1,0,107,0,1,1,0,0,0,1
1-866-706-1991,0,43.4219433,-80.5274795,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"100 Brookside Cres, Kitchener, ON",0,0,0,1,0,108,0,1,1,0,0,0,1
1-866-706-1991,0,43.3539454,-80.3294334,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"100 Churchill Dr, Cambridge, ON",0,0,0,1,0,109,0,1,1,0,0,0,1
1-866-706-1991,0,43.4311961,-80.3041575,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"100 Cooper St, Cambridge, ON",0,0,0,1,0,110,0,1,1,0,0,0,1
1-866-706-1991,0,43.4284601,-80.3140954,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"100 Courtney St, Cambridge, ON",0,0,0,1,0,111,0,1,1,0,0,0,1
1-866-706-1991,0,43.3857065,-80.2704039,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"100 Deerpath Rd, Cambridge, ON",0,0,0,1,0,112,0,1,1,0,0,0,1
1-866-706-1991,0,43.4525896,-80.4619363,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"100 Donald St, Kitchener, ON",0,0,0,1,0,113,0,1,1,0,0,0,1
1-866-706-1991,0,43.4380087,-80.3248133,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"100 Dyer Crt, Cambridge, ON",0,0,0,1,0,114,0,1,1,0,0,0,1
1-866-706-1991,0,43.3956793,-80.2756587,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"100 Forestview Dr, Cambridge, ON",0,0,0,1,0,115,0,1,1,0,0,0,1
1-866-706-1991,0,43.4082097,-80.389177,1,0,0,0,0,0,0,0,0,0,1,1,1,0,"100 Gateway Park Dr, Kitchener, ON",0,0,0,1,0,116,0,1,1,0,0,0,1
1-866-706-1991,0,43.4793095,-80.4892928,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"100 General Dr, Kitchener, ON",0,0,0,1,0,117,0,1,1,0,0,0,1
1-866-706-1991,0,43.3477704,-80.3220076,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"100 Glenmorris St, Cambridge, ON",0,0,0,1,0,119,0,1,1,0,0,0,1
1-866-706-1991,0,43.4562807,-80.4442221,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"100 Gibson Dr, Kitchener, ON",0,0,0,1,0,118,0,1,1,0,0,0,1
1-866-706-1991,0,43.4207827,-80.3552232,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"100 Goddard Cres, Cambridge, ON",0,0,0,1,0,120,0,1,1,0,0,0,1
1-866-706-1991,0,43.4125306,-80.5511318,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"100 Golden Meadow Cres, Kitchener, ON",0,0,0,1,0,121,0,1,1,0,0,0,1
1-866-706-1991,0,43.3405764,-80.3291441,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"100 Gordon St, Cambridge, ON",0,0,0,1,0,122,0,1,1,0,0,0,1
1-866-706-1991,0,43.3398526,-80.275793,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"100 Haskell Rd, Cambridge, ON",0,0,0,1,0,123,0,1,1,0,0,0,1
1-866-706-1991,0,43.42024,-80.3116636,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"100 Heather Ave, Cambridge, ON",0,0,0,1,0,124,0,1,1,0,0,0,1
1-866-706-1991,0,43.4129768,-80.4740266,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"100 Hillside Dr, Kitchener, ON",0,0,0,1,0,125,0,1,1,0,0,0,1
1-866-706-1991,0,43.4475149,-80.4991171,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"100 Jubilee Dr, Kitchener, ON",0,0,0,1,0,127,0,1,1,0,0,0,1
1-866-706-1991,0,43.4435876,-80.4223965,1,0,1,0,0,0,0,0,0,0,1,1,1,0,"100 Idle Creek Dr, Kitchener, ON",0,0,0,1,0,126,0,1,1,0,0,0,1
