alternate_sales_number,facilities,geocoded_latitude,geocoded_longitude,internet_bell,internet_bell_fibre,internet_bell_vdsl,internet_cogeco,internet_execulink_bellcolo,internet_execulink_cable,internet_execulink_copper,internet_execulink_dialup,internet_execulink_fibre,internet_execulink_wireless,internet_rogers,mobility_execulink,murb_n,murb_y,original_address,phone_execulink_bellcolo,phone_execulink_cable,phone_execulink_copper,phone_execulink_digital,phone_execulink_fibre,row_index,security_execulink,tpia,tv_available,tv_execulink_cable,tv_execulink_copper,tv_execulink_fibre,tv_execulink_hls
1-866-706-1991,0,43.6967273,-79.8123833,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"142 BONISTEL CRES, BRAMPTON, ON",0,0,0,1,0,1,0,1,1,0,0,0,1
1-866-706-1991,0,43.7035848,-79.8130943,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"187 QUEEN MARY DR, BRAMPTON, ON",0,0,0,1,0,3,0,1,1,0,0,0,1
1-866-706-1991,0,43.7028592,-79.8091744,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"48 TIANALEE CRES, BRAMPTON, ON",0,0,0,1,0,2,0,1,1,0,0,0,1
1-866-706-1991,0,43.7002532,-79.8161482,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"62 WOODVALLEY DR, BRAMPTON, ON",0,0,0,1,0,4,0,1,1,0,0,0,1
1-866-706-1991,0,43.7212939,-79.7855364,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"21 MUSKOKA ST, BRAMPTON, ON",0,0,0,1,0,6,0,1,1,0,0,0,1
1-866-706-1991,0,43.7117063,-79.78749669999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"65 SUNFOREST DR, BRAMPTON, ON",0,0,0,1,0,5,0,1,1,0,0,0,1
1-866-706-1991,0,43.6991167,-79.80844320000001,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"31 DELLS CRES, BRAMPTON, ON",0,0,0,1,0,8,0,1,1,0,0,0,1
1-866-706-1991,0,43.7214774,-79.78581659999999,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"27 MUSKOKA ST, BRAMPTON, ON",0,0,0,1,0,7,0,1,1,0,0,0,1
1-866-706-1991,0,43.6967618,-79.817691,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"5 REDFINCH WAY, BRAMPTON, ON",0,0,0,1,0,9,0,1,1,0,0,0,1
1-866-706-1991,0,43.6952705,-79.8186654,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"64 REDFINCH WAY, BRAMPTON, ON",0,0,0,1,0,10,0,1,1,0,0,0,1
1-866-706-1991,0,43.6955871,-79.8183332,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"54 REDFINCH WAY, BRAMPTON, ON",0,0,0,1,0,11,0,1,1,0,0,0,1
1-866-706-1991,0,43.6932383,-79.81047889999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"24 SAWSTON CIR, BRAMPTON, ON",0,0,0,1,0,12,0,1,1,0,0,0,1
1-866-706-1991,0,43.7012128,-79.8060739,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"124 TIANALEE CRES, BRAMPTON, ON",0,0,0,1,0,13,0,1,1,0,0,0,1
1-866-706-1991,0,43.701175,-79.810929,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"130 DELLS CRES, BRAMPTON, ON",0,0,0,1,0,14,0,1,1,0,0,0,1
1-866-706-1991,0,43.6973064,-79.81860669999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"13 BLUELEAF TRAIL, BRAMPTON, ON",0,0,0,1,0,15,0,1,1,0,0,0,1
1-866-706-1991,0,43.69807549999999,-79.8121019,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"56 AMBOISE CRES, BRAMPTON, ON",0,0,0,1,0,20,0,1,1,0,0,0,1
1-866-706-1991,0,43.7000493,-79.8099536,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"7 FLATBUSH LANE, BRAMPTON, ON",0,0,0,1,0,18,0,1,1,0,0,0,1
1-866-706-1991,0,43.69896139999999,-79.8081286,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"27 DELLS CRES, BRAMPTON, ON",0,0,0,1,0,21,0,1,1,0,0,0,1
1-866-706-1991,0,43.6957829,-79.81433419999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"1 DUFFIELD RD, BRAMPTON, ON",0,0,0,1,0,16,0,1,1,0,0,0,1
1-866-706-1991,0,43.6995176,-79.8076191,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"28 LORMEL GATE, BRAMPTON, ON",0,0,0,1,0,19,0,1,1,0,0,0,1
